restaurant_name,location,city,cuisines,average_cost_for_two,aggregate_rating,votes,restaurant_type,online_order,book_table
Byg Brewski Brewing Company,Sarjapur Road,Sarjapur Road,"continental, north indian, italian, south indian, finger food",1600.0,4.9,16832,Microbrewery,Yes,Yes
Toit,Indiranagar,Indiranagar,"italian, american, pizza",1500.0,4.7,14956,Microbrewery,No,No
Truffles,Koramangala 5Th Block,Koramangala 7Th Block,"cafe, american, burger, steak",900.0,4.7,14726,"Cafe, Casual Dining",No,No
AB's - Absolute Barbecues,Marathahalli,Marathahalli,"european, mediterranean, north indian, bbq",1600.0,4.8,12121,Casual Dining,No,Yes
The Black Pearl,Koramangala 5Th Block,Koramangala 7Th Block,"north indian, european, mediterranean",1400.0,4.7,10550,"Casual Dining, Bar",No,Yes
Big Pitcher,Old Airport Road,Old Airport Road,"american, continental, north indian, mediterranean",1800.0,4.6,9300,"Pub, Microbrewery",No,Yes
Onesta,Koramangala 4Th Block,Koramangala 7Th Block,"pizza, cafe, italian",600.0,4.4,9085,"Casual Dining, Cafe",Yes,Yes
Arbor Brewing Company,Brigade Road,Residency Road,"american, continental",2000.0,4.5,8419,"Pub, Microbrewery",No,Yes
Empire Restaurant,Indiranagar,Old Airport Road,"north indian, mughlai, south indian, chinese",750.0,4.1,8304,Casual Dining,Yes,No
Prost Brew Pub,Koramangala 4Th Block,Koramangala 7Th Block,"american, continental, north indian, salad",1800.0,4.5,7871,"Pub, Microbrewery",No,Yes
Church Street Social,Church Street,Residency Road,"american, north indian, chinese, finger food, momos",1500.0,4.3,7584,Lounge,Yes,No
Hoot,Sarjapur Road,Sarjapur Road,"continental, italian, north indian",1400.0,4.2,7330,"Microbrewery, Pub",Yes,Yes
The Black Pearl,Marathahalli,Marathahalli,"north indian, european, mediterranean, bbq",1500.0,4.8,7284,"Casual Dining, Bar",No,Yes
Barbeque Nation,Indiranagar,Old Airport Road,"north indian, european, mediterranean, bbq, kebab",1600.0,4.7,7270,Casual Dining,No,Yes
Meghana Foods,Koramangala 5Th Block,Koramangala 7Th Block,"biryani, andhra, north indian, seafood",600.0,4.4,7238,Casual Dining,Yes,No
Flechazo,Marathahalli,Marathahalli,"asian, mediterranean, north indian, bbq",1400.0,4.7,7154,Casual Dining,No,Yes
The Hole in the Wall Cafe,Koramangala 4Th Block,Koramangala 7Th Block,"cafe, american, burger",600.0,4.6,7137,Cafe,No,No
Biergarten,Whitefield,Whitefield,"continental, european, bbq, chinese, asian",2400.0,4.7,7064,"Microbrewery, Pub",No,Yes
Vapour Pub & Brewery,Indiranagar,Old Airport Road,"north indian, continental, chinese",1400.0,4.2,6998,"Microbrewery, Pub",No,Yes
Empire Restaurant,Koramangala 5Th Block,Koramangala 6Th Block,"north indian, mughlai, south indian, chinese",750.0,4.1,6959,Casual Dining,Yes,No
TBC Sky Lounge,Hsr,Hsr,"continental, asian, italian, north indian",1000.0,4.7,6745,"Casual Dining, Bar",No,Yes
AB's - Absolute Barbecues,Btm,Koramangala 7Th Block,"european, mediterranean, north indian, bbq",1600.0,4.9,6490,Casual Dining,No,Yes
